Sample.ID,Study.ID,DOI.primary,DOI.secondary,LeadAuthor.primary,LeadAuthor.secondary,PublicationYear,Country,Region,SiteName,Block.Rep,GPS.Lat,GPS.Long,Study.context,SampleDepth.min,SampleDepth.max,Clay.pct,Silt.pct,Sand.pct,TexturalClass,Soil.pH,CEC,SOC.pct,Soil.TotalCd,TotalCd.method,Soil.AvailCd1,Soil.AvailCd1.method,Soil.AvailCd2,Soil.AvailCd2.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.Cd.type,WholeBeanCd,NibCd,ShellCd,LeafCd,AvailCd.N,AvailCd.SD,TotalCd.N,TotalCd.SD,WholeBeanCd.N,WholeBeanCd.SD,Subset,Soil.Cd.YN,Bean.Cd.YN,LeafBeaf.Cd.YN
55,2,https://doi.org/10.1016/j.scitotenv.2018.08.317,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,10,b,,,Field study,0,15,,,,,6.77,30.57,1.69,0.42,Aqua regia,,,,,,,,,,,,,Acid,0.74,,,,,,,,,,Soil and bean,Y,Y,
56,2,https://doi.org/10.1016/j.scitotenv.2018.08.318,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,10,c,,,Field study,0,15,,,,,6.5,30.55,1.02,0.29,Aqua regia,,,,,,,,,,,,,Acid,0.89,,,,,,,,,,Soil and bean,Y,Y,
57,2,https://doi.org/10.1016/j.scitotenv.2018.08.319,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,11,a,,,Field study,0,15,,,,,6.45,33.22,1.18,0.35,Aqua regia,,,,,,,,,,,,,Acid,0.73,,,,,,,,,,Soil and bean,Y,Y,
58,2,https://doi.org/10.1016/j.scitotenv.2018.08.320,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,11,b,,,Field study,0,15,,,,,5.81,30.86,1.28,0.35,Aqua regia,,,,,,,,,,,,,Acid,1.7,,,,,,,,,,Soil and bean,Y,Y,
59,2,https://doi.org/10.1016/j.scitotenv.2018.08.321,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,11,c,,,Field study,0,15,,,,,5.99,36.96,1.37,0.51,Aqua regia,,,,,,,,,,,,,Acid,1.8,,,,,,,,,,Soil and bean,Y,Y,
60,2,https://doi.org/10.1016/j.scitotenv.2018.08.322,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,12,a,,,Field study,0,15,,,,,6.28,22.2,1.82,0.49,Aqua regia,,,,,,,,,,,,,Acid,0.49,,,,,,,,,,Soil and bean,Y,Y,
61,2,https://doi.org/10.1016/j.scitotenv.2018.08.323,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,12,b,,,Field study,0,15,,,,,6.65,28.03,2.04,0.89,Aqua regia,,,,,,,,,,,,,Acid,1.22,,,,,,,,,,Soil and bean,Y,Y,
62,2,https://doi.org/10.1016/j.scitotenv.2018.08.324,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,12,c,,,Field study,0,15,,,,,6.44,22.02,2.13,0.8,Aqua regia,,,,,,,,,,,,,Acid,1.02,,,,,,,,,,Soil and bean,Y,Y,
63,2,https://doi.org/10.1016/j.scitotenv.2018.08.325,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,13,a,,,Field study,0,15,,,,,6.42,18.99,2.95,0.21,Aqua regia,,,,,,,,,,,,,Acid,0.1,,,,,,,,,,Soil and bean,Y,Y,
64,2,https://doi.org/10.1016/j.scitotenv.2018.08.326,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,13,b,,,Field study,0,15,,,,,6.29,20.12,2.66,0.2,Aqua regia,,,,,,,,,,,,,Acid,0.08,,,,,,,,,,Soil and bean,Y,Y,
